times,sauna,lüftung,gastronomie,gesundheitspark,technik,gesamt
01-11-2013 16:00:00,24823.1,20364.9,34512.8,37022.3,41669.8,213333.3
01-11-2013 16:15:00,18523.4,20140.2,34532.6,37172.5,39580.6,214666.7
01-11-2013 16:30:00,19211.5,20255.2,31204.7,38868.5,41863.7,212000.0
01-11-2013 16:45:00,21727.0,20216.3,25720.4,38111.8,40423.2,218666.7
01-11-2013 17:00:00,21023.2,20230.0,26621.2,39436.2,40708.0,216000.0
01-11-2013 17:15:00,19936.5,20283.3,23591.4,43205.3,41952.9,217333.3
01-11-2013 17:30:00,20666.4,20091.1,22211.9,40763.1,39781.0,216000.0
01-11-2013 17:45:00,21130.9,20285.5,19055.1,42010.2,42140.3,216000.0
01-11-2013 18:00:00,22763.3,20334.9,28553.5,40531.1,39802.7,212000.0
01-11-2013 18:15:00,18897.7,20343.4,32471.9,39819.4,42362.0,217333.3
01-11-2013 18:30:00,18556.5,20345.1,27942.7,44846.2,40041.7,220000.0
01-11-2013 18:45:00,18827.1,20381.5,27165.2,43592.9,41796.3,216000.0
01-11-2013 19:00:00,17270.1,20188.7,32301.9,39644.3,42075.9,214666.7
01-11-2013 19:15:00,16041.3,20413.7,26633.7,38842.2,39945.6,212000.0
01-11-2013 19:30:00,16555.9,20435.6,19156.4,31170.7,42289.9,202666.7
01-11-2013 19:45:00,18170.2,20367.1,24345.1,31269.6,39770.7,197333.3
01-11-2013 20:00:00,16197.0,20268.6,17649.6,27989.3,42269.8,204000.0
01-11-2013 20:15:00,15565.7,20088.6,18862.1,26796.5,40108.1,193333.3
01-11-2013 20:30:00,14448.9,20276.1,13270.2,26506.5,42011.4,192000.0
01-11-2013 20:45:00,8952.2,20313.5,7868.5,27067.0,28157.3,188000.0
01-11-2013 21:00:00,7653.2,20323.3,6620.0,27835.1,25902.6,161333.3
01-11-2013 21:15:00,7456.7,20297.5,4986.5,25822.4,28296.0,156000.0
01-11-2013 21:30:00,4195.9,20187.8,7439.5,23816.4,25610.5,142666.7
01-11-2013 21:45:00,1098.2,20353.2,6400.6,23707.1,28310.2,133333.3
01-11-2013 22:00:00,1080.4,20385.5,5386.4,22635.1,18182.7,133333.3
01-11-2013 22:15:00,1179.3,20400.2,4013.3,24426.3,19878.8,109333.3
01-11-2013 22:30:00,1094.6,20400.3,5258.7,23324.0,18548.0,109333.3
01-11-2013 22:45:00,1103.6,20233.3,3637.2,20620.6,18580.9,105333.3
01-11-2013 23:00:00,1177.8,20403.5,3826.7,20130.5,19571.2,100000.0
01-11-2013 23:15:00,1172.0,20376.3,3799.5,23739.8,17529.8,104000.0
01-11-2013 23:30:00,1086.7,20379.0,4621.5,23424.1,19749.1,98666.7
01-11-2013 23:45:00,1247.6,20413.6,3685.4,22610.2,17339.4,101333.3
02-11-2013 00:00:00,1070.5,20201.9,3828.1,22457.7,19976.9,96000.0
02-11-2013 00:15:00,1187.0,20384.2,2570.6,20985.7,17409.4,100000.0
02-11-2013 00:30:00,1096.9,20393.1,3414.5,26051.0,20058.1,90666.7
02-11-2013 00:45:00,1160.1,20417.4,2869.3,25518.2,19762.7,98666.7
02-11-2013 01:00:00,1170.7,20363.2,2305.9,25158.6,17745.7,97333.3
02-11-2013 01:15:00,1117.7,20390.5,2493.8,28241.7,19672.2,96000.0
02-11-2013 01:30:00,1162.1,20172.8,2312.2,27545.9,17731.3,102666.7
02-11-2013 01:45:00,1176.1,20407.6,2586.7,31778.1,19631.0,97333.3
02-11-2013 02:00:00,1106.1,20396.5,2271.3,27917.4,17765.7,101333.3
02-11-2013 02:15:00,1092.8,20419.6,2130.8,27134.1,19562.8,96000.0
02-11-2013 02:30:00,1170.4,20396.0,3869.8,28054.3,18891.5,96000.0
02-11-2013 02:45:00,1198.4,19625.4,3957.8,27356.2,14582.7,98666.7
02-11-2013 03:00:00,1184.1,19357.0,3690.7,28285.4,10970.7,93333.3
02-11-2013 03:15:00,1066.6,19375.6,4004.9,28708.8,9094.1,88000.0
02-11-2013 03:30:00,1081.7,19388.6,3934.7,28700.6,10976.4,88000.0
